splits_count,Scan_Location,Splits_Required,Splits,Source,Destination
4.0,Agartala_UttarChampamura_I,4.0,4.0,,0.0
122.0,Agra_Jaupura_H,36.0,122.0,,0.0
260.0,Ahmedabad_Kanera_GW,45.0,327.0,Ahmedabad_Kanera_GW,327.0
10.0,Ahmedabad_Odhavestate_C,4.0,10.0,,0.0
7.0,Ahmedabad_SaraswatiNagar_C,3.0,7.0,,0.0
9.0,Ahmedabad_Thaltej_C,4.0,9.0,,0.0
2.0,Ahmedabad_Thaltej_H,1.0,2.0,,0.0
7.0,Ahmednagar_Kedgaon_I,4.0,7.0,,0.0
8.0,Ajmer_Ratanzila_I,2.0,8.0,,0.0
6.0,Akola_Midcphase3_H,4.0,6.0,,0.0
15.0,Aligarh_IndustrialEstate_I,5.0,15.0,,0.0
24.0,Allahabad_Rasulabad_H,12.0,24.0,,0.0
43.0,Aluva_Peedika_H,28.0,43.0,,0.0
9.0,Alwar_TuleraRoad_I,4.0,9.0,,0.0
5.0,Ambikapur_Bouripara_I,4.0,5.0,,0.0
9.0,Amritsar_VerkaBypss_I,6.0,9.0,,0.0
11.0,Anantapur_AyyavaripalliRD_H,5.0,11.0,,0.0
21.0,Angul_Durgavihar_I,8.0,21.0,,0.0
24.0,Aurangabad_Gngapr_H,9.0,24.0,,0.0
9.0,Azamgarh_Kotwa_I,5.0,9.0,,0.0
5.0,Bahraich_Dularpur_H,4.0,5.0,,0.0
2.0,Bangalore_BenniganaHalli_C,2.0,2.0,,0.0
12.0,Bangalore_HuskurRoad_C,2.0,12.0,,0.0
2.0,Bangalore_Kempegowda_C,2.0,2.0,,0.0
138.0,Bangalore_Laggere_C,34.0,138.0,,0.0
317.0,Bangalore_Soukyaroad_GW,99.0,343.0,Bangalore_Soukyaroad_GW,343.0
193.0,Bangalore_Soukyaroad_I,,193.0,,0.0
3.0,Bardhaman_Ulhas_I,2.0,3.0,,0.0
14.0,Bareilly_Sathrapur_H,5.0,14.0,,0.0
1.0,Barpeta_ShaktiNagar_C,1.0,1.0,,0.0
24.0,Bathinda_KrishnaNagar_I,8.0,24.0,,0.0
18.0,Begusarai_Mohammadpur_I,7.0,18.0,,0.0
11.0,Behrampur_Mandiapalli_I,4.0,11.0,,0.0
4.0,Belgaum_GandhiNgr_I,5.0,5.0,,0.0
10.0,Bellary_Mundargi_I,4.0,10.0,,0.0
6.0,Berhampore_Raninagar_I,3.0,6.0,,0.0
9.0,Bhadrak_Mathasahi_I,3.0,9.0,,0.0
9.0,Bhavnagar_Chitra_I,3.0,9.0,,0.0
2.0,Bhawanipatna_Dangaripadar_H,3.0,3.0,,0.0
8.0,Bhilwara_RIICOIndArea_I,3.0,8.0,,0.0
330.0,Bhiwandi_Lonad_GW,100.0,332.0,Bhiwandi_Lonad_GW,332.0
334.0,Bhiwandi_Mega_GW,75.0,334.0,Bhiwandi_Mega_GW,334.0
49.0,Bhopal_Pipaliya_H,28.0,49.0,,0.0
23.0,Bhubaneswar_Bampakhuda_GW,21.0,23.0,,0.0
7.0,Bijapur_Mahalbhagayat_I,4.0,7.0,,0.0
14.0,Bikaner_MurlidharColony_I,6.0,14.0,,0.0
13.0,BilaspurHP_Temp_I,3.0,13.0,,0.0
3.0,Bilaspur_Parsada_I,3.0,3.0,,0.0
228.0,Chandigarh_Rajpura_GW,51.0,228.0,,0.0
41.0,Chandigarh_Rajpura_I,14.0,41.0,,0.0
2.0,Chandrapur_Wandhari_I,2.0,2.0,,0.0
2.0,Chennai_ExpressEstate_C,3.0,3.0,,0.0
2.0,Chennai_Guindy_C,3.0,3.0,,0.0
1.0,Chennai_Guindy_I,27.0,27.0,,0.0
2.0,Chennai_Mogappair_C,3.0,3.0,,0.0
293.0,Chennai_Sriperumbudur_GW,83.0,345.0,Chennai_Sriperumbudur_GW,345.0
10.0,Chhapra_Ramnagar_I,7.0,10.0,,0.0
11.0,Chhindwara_Linga_I,5.0,11.0,,0.0
129.0,Coimbatore_Kaniyur_H,48.0,129.0,,0.0
1.0,Coimbatore_Vellakinar_C,1.0,1.0,,0.0
4.0,Cuddapah_Aravindnagar_I,2.0,4.0,,0.0
20.0,Dahod_Vanzarwada_I,6.0,20.0,,0.0
21.0,Darbhanga_Madhpur_I,8.0,21.0,,0.0
8.0,Davangere_Industrialarea_I,2.0,8.0,,0.0
6.0,Dehradun_Badowala_H,3.0,6.0,,0.0
327.0,Delhi_Airport_GW,97.0,344.0,Delhi_Airport_GW,344.0
11.0,Delhi_MayapuriPhase1_I,4.0,11.0,,0.0
3.0,Delhi_MundkaIndustArea_I,3.0,3.0,,0.0
10.0,Delhi_Okhla_I,4.0,10.0,,0.0
10.0,Delhi_Shahdara_I,4.0,10.0,,0.0
11.0,Delhi_UdhyogNgr_I,3.0,11.0,,0.0
20.0,Dhanbad_Tilabani_H,11.0,20.0,,0.0
8.0,Dhule_MohadiUpnagar_I,3.0,8.0,,0.0
7.0,Dibrugarh_Mohanbari_H,7.0,7.0,,0.0
5.0,Dimapur_VeterinaryColony_I,5.0,5.0,,0.0
10.0,Durgapur_Bamunara_I,5.0,10.0,,0.0
8.0,Eluru_AutoNagar_I,4.0,8.0,,0.0
17.0,Faizabad_DarshnNgr_I,5.0,17.0,,0.0
305.0,Faridabad_MathuraRoad_GW,52.0,340.0,Faridabad_MathuraRoad_GW,340.0
3.0,Gandhidham_BharatNagar_I,2.0,3.0,,0.0
14.0,Gaya_Kharanti_I,7.0,14.0,,0.0
15.0,Ghaziabad_Sahibabad_I,7.0,15.0,,0.0
