ori,des
Thrissur_Padavarad_I,E_Delhi_Airport_GW
Moga_Duneke_I,S_Delhi_Airport_GW
Dibrugarh_Mohanbari_H,E_Delhi_Airport_GW
Jorhat_Chokihaat_I,E_Delhi_Airport_GW
Solan_Deothi_I,S_Delhi_Airport_GW
Kurnool_Dinnedevrpdu_I,E_Delhi_Airport_GW
Eluru_AutoNagar_I,E_Delhi_Airport_GW
Hubli_Budarshingi_H,E_Delhi_Airport_GW
Satara_Ambedkarnagar_I,E_Delhi_Airport_GW
Delhi_MundkaIndustArea_I,S_Delhi_Airport_GW
Kollam_Kilikollur_H,E_Delhi_Airport_GW
Delhi_Shahdara_I,S_Delhi_Airport_GW
Bijapur_Mahalbhagayat_I,E_Delhi_Airport_GW
Moradabad_Menather_P,S_Delhi_Airport_GW
Delhi_MayapuriPhase1_I,S_Delhi_Airport_GW
Solapur_Balepeth_I,E_Delhi_Airport_GW
Meerut_Panchlikhurd_H,S_Delhi_Airport_GW
Delhi_UdhyogNgr_I,S_Delhi_Airport_GW
Jeypore_Bariniput_I,E_Delhi_Airport_GW
Jammu_Baribrahmana_H,S_Delhi_Airport_GW
Jammu_Baribrahmana_H,E_Delhi_Airport_GW
Pathankot_Kahanpur_H,S_Delhi_Airport_GW
Dahod_Vanzarwada_I,E_Delhi_Airport_GW
Kottayam_Ettumanoor_H,E_Delhi_Airport_GW
Jhajjar_Policeline_I,S_Delhi_Airport_GW
Angul_Durgavihar_I,E_Delhi_Airport_GW
Delhi_Okhla_I,S_Delhi_Airport_GW
Begusarai_Mohammadpur_I,E_Delhi_Airport_GW
Kendujhar_Jamunalia_I,E_Delhi_Airport_GW
Ranchi_Sidroll_H,E_Delhi_Airport_GW
Lakhisarai_Central_I_2,E_Delhi_Airport_GW
Jamshedpur_Asanbani_H,E_Delhi_Airport_GW
Chhapra_Ramnagar_I,E_Delhi_Airport_GW
Ahmednagar_Kedgaon_I,E_Delhi_Airport_GW
Bathinda_KrishnaNagar_I,S_Delhi_Airport_GW
Gurgaon_Sector18_I,S_Delhi_Airport_GW
Noida_Sector63D_I,S_Delhi_Airport_GW
Bhubaneswar_Bampakhuda_GW,E_Delhi_Airport_GW
Srinagar_Ladhoo_H,E_Delhi_Airport_GW
Raipur_Guma_H,E_Delhi_Airport_GW
Jalandhar_QajiMandi_P,S_Delhi_Airport_GW
Amritsar_VerkaBypss_I,S_Delhi_Airport_GW
Ghaziabad_Sahibabad_I,S_Delhi_Airport_GW
Goa_Hub,E_Delhi_Airport_GW
Varanasi_Birbhanpur_H,E_Delhi_Airport_GW
Behrampur_Mandiapalli_I,E_Delhi_Airport_GW
Noida_Sector63D_C,S_Delhi_Airport_GW
Sambalpur_Tentelpara_H,E_Delhi_Airport_GW
Mandi_Nerchowk_I,S_Delhi_Airport_GW
Rudrapur_Daanpur_H,S_Delhi_Airport_GW
Imphal_Takyel_I,E_Delhi_Airport_GW
Karnal_Kutail_H,S_Delhi_Airport_GW
Sonipat_WazidpurSaboli_P,S_Delhi_Airport_GW
Guntur_Kornepadu_I,E_Delhi_Airport_GW
Mangalore_Katipalla_H,E_Delhi_Airport_GW
Gurgaon_PalamVihar_C,S_Delhi_Airport_GW
Chandrapur_Wandhari_I,E_Delhi_Airport_GW
Rourkela_Panposh_I,E_Delhi_Airport_GW
Bangalore_Laggere_C,E_Delhi_Airport_GW
Mandsaur_Sindpan_I,E_Delhi_Airport_GW
Howrah_Prasastha_C,E_Delhi_Airport_GW
Mumbai_GavraiPada_C,E_Delhi_Airport_GW
Pune_Sutarwadi_C,E_Delhi_Airport_GW
Pune_Kondhwa_C,E_Delhi_Airport_GW
Pune_Dhanori_C,E_Delhi_Airport_GW
Thrissur_Padavarad_I,S_Gurgaon_Tauru_GW
Dibrugarh_Mohanbari_H,S_Gurgaon_Tauru_GW
Hubli_Budarshingi_H,S_Gurgaon_Tauru_GW
Satara_Ambedkarnagar_I,S_Gurgaon_Tauru_GW
Delhi_MundkaIndustArea_I,S_Gurgaon_Tauru_GW
Delhi_Shahdara_I,S_Gurgaon_Tauru_GW
Moradabad_Menather_P,S_Gurgaon_Tauru_GW
Delhi_MayapuriPhase1_I,S_Gurgaon_Tauru_GW
Meerut_Panchlikhurd_H,S_Gurgaon_Tauru_GW
Delhi_UdhyogNgr_I,S_Gurgaon_Tauru_GW
Jammu_Baribrahmana_H,S_Gurgaon_Tauru_GW
Pathankot_Kahanpur_H,S_Gurgaon_Tauru_GW
Jhajjar_Policeline_I,S_Gurgaon_Tauru_GW
Angul_Durgavihar_I,S_Gurgaon_Tauru_GW
Delhi_Okhla_I,S_Gurgaon_Tauru_GW
Begusarai_Mohammadpur_I,S_Gurgaon_Tauru_GW
Kendujhar_Jamunalia_I,S_Gurgaon_Tauru_GW
Ranchi_Sidroll_H,S_Gurgaon_Tauru_GW
Lakhisarai_Central_I_2,S_Gurgaon_Tauru_GW
Jamshedpur_Asanbani_H,S_Gurgaon_Tauru_GW
Chhapra_Ramnagar_I,S_Gurgaon_Tauru_GW
Bathinda_KrishnaNagar_I,S_Gurgaon_Tauru_GW
Gurgaon_Sector18_I,S_Gurgaon_Tauru_GW
Noida_Sector63D_I,S_Gurgaon_Tauru_GW
Bhubaneswar_Bampakhuda_GW,S_Gurgaon_Tauru_GW
Srinagar_Ladhoo_H,S_Gurgaon_Tauru_GW
Raipur_Guma_H,S_Gurgaon_Tauru_GW
Jalandhar_QajiMandi_P,S_Gurgaon_Tauru_GW
Amritsar_VerkaBypss_I,S_Gurgaon_Tauru_GW
Ghaziabad_Sahibabad_I,S_Gurgaon_Tauru_GW
Varanasi_Birbhanpur_H,S_Gurgaon_Tauru_GW
Behrampur_Mandiapalli_I,S_Gurgaon_Tauru_GW
Noida_Sector63D_C,S_Gurgaon_Tauru_GW
Rudrapur_Daanpur_H,S_Gurgaon_Tauru_GW
Karnal_Kutail_H,S_Gurgaon_Tauru_GW
Sonipat_WazidpurSaboli_P,S_Gurgaon_Tauru_GW
Mangalore_Katipalla_H,S_Gurgaon_Tauru_GW
Durgapur_Bamunara_I,S_Gurgaon_Tauru_GW
Chhindwara_Linga_I,S_Gurgaon_Tauru_GW
Bikaner_MurlidharColony_I,S_Gurgaon_Tauru_GW
Gorakhpur_Bhauwapar_H,S_Gurgaon_Tauru_GW
Purnia_Kasba_H,S_Gurgaon_Tauru_GW
Gaya_Kharanti_I,S_Gurgaon_Tauru_GW
Mainpuri_Bypassroad_I,S_Gurgaon_Tauru_GW
BilaspurHP_Temp_I,S_Gurgaon_Tauru_GW
Darbhanga_Madhpur_I,S_Gurgaon_Tauru_GW
Satna_Nazirabad_I,S_Gurgaon_Tauru_GW
Kannur_Koodali_H,S_Gurgaon_Tauru_GW
Allahabad_Rasulabad_H,S_Gurgaon_Tauru_GW
Hanumangarh_DhaanMandi_I,S_Gurgaon_Tauru_GW
Jabalpur_Timri_P,S_Gurgaon_Tauru_GW
Sasaram_Karwandiya_I,S_Gurgaon_Tauru_GW
Jhunjhunu_ShastriNagar_I,S_Gurgaon_Tauru_GW
Vapi_Valwada_H,S_Gurgaon_Tauru_GW
Ambikapur_Bouripara_I,S_Gurgaon_Tauru_GW
Agartala_UttarChampamura_I,S_Gurgaon_Tauru_GW
Aligarh_IndustrialEstate_I,S_Gurgaon_Tauru_GW
Kozhikode_Central_H,S_Gurgaon_Tauru_GW
Faizabad_DarshnNgr_I,S_Gurgaon_Tauru_GW
Dehradun_Badowala_H,S_Gurgaon_Tauru_GW
Silchar_Ambikapur_H,S_Gurgaon_Tauru_GW
Gwalior_PuraniChhawani_P,S_Gurgaon_Tauru_GW
Sikar_IndustrialArea_I,S_Gurgaon_Tauru_GW
Dhanbad_Tilabani_H,S_Gurgaon_Tauru_GW
Bareilly_Sathrapur_H,S_Gurgaon_Tauru_GW
Bilaspur_Parsada_I,S_Gurgaon_Tauru_GW
Saharanpur_Madhonagar_P,S_Gurgaon_Tauru_GW
Guna_Shahpur_H,S_Gurgaon_Tauru_GW
Gondia_Mundipar_I,S_Gurgaon_Tauru_GW
Jodhpur_BasniPhase2_P,S_Gurgaon_Tauru_GW
Gurgaon_PalamVihar_C,S_Gurgaon_Tauru_GW
Alwar_TuleraRoad_I,S_Gurgaon_Tauru_GW
Nagaon_Bangthai_H,S_Gurgaon_Tauru_GW
Renukoot_Murdhava_H,S_Gurgaon_Tauru_GW
Motihari_Chhatauni_H,S_Gurgaon_Tauru_GW
Muzaffarpur_Gobarsahi_H,S_Gurgaon_Tauru_GW
Bahraich_Dularpur_H,S_Gurgaon_Tauru_GW
Jhansi_Nandanpura_I,S_Gurgaon_Tauru_GW
Azamgarh_Kotwa_I,S_Gurgaon_Tauru_GW
Kanpur_DarshanPurwa_C,S_Gurgaon_Tauru_GW
Ahmedabad_Odhavestate_C,S_Gurgaon_Tauru_GW
Thrissur_Padavarad_I,E_Mumbai_Chndivli_PC
Satara_Ambedkarnagar_I,S_Mumbai_Chndivli_PC
Jeypore_Bariniput_I,E_Mumbai_Chndivli_PC
Kottayam_Ettumanoor_H,E_Mumbai_Chndivli_PC
Angul_Durgavihar_I,E_Mumbai_Chndivli_PC
Begusarai_Mohammadpur_I,E_Mumbai_Chndivli_PC
Ranchi_Sidroll_H,E_Mumbai_Chndivli_PC
Lakhisarai_Central_I_2,E_Mumbai_Chndivli_PC
Chhapra_Ramnagar_I,E_Mumbai_Chndivli_PC
Bhubaneswar_Bampakhuda_GW,E_Mumbai_Chndivli_PC
Raipur_Guma_H,E_Mumbai_Chndivli_PC
Raipur_Guma_H,S_Mumbai_Chndivli_PC
Goa_Hub,S_Mumbai_Chndivli_PC
Varanasi_Birbhanpur_H,E_Mumbai_Chndivli_PC
Imphal_Takyel_I,E_Mumbai_Chndivli_PC
Sonipat_WazidpurSaboli_P,S_Mumbai_Chndivli_PC
Mangalore_Katipalla_H,E_Mumbai_Chndivli_PC
Gorakhpur_Bhauwapar_H,E_Mumbai_Chndivli_PC
Gorakhpur_Bhauwapar_H,S_Mumbai_Chndivli_PC
Gaya_Kharanti_I,E_Mumbai_Chndivli_PC
Darbhanga_Madhpur_I,E_Mumbai_Chndivli_PC
Sasaram_Karwandiya_I,E_Mumbai_Chndivli_PC
Faizabad_DarshnNgr_I,E_Mumbai_Chndivli_PC
Gwalior_PuraniChhawani_P,E_Mumbai_Chndivli_PC
Dhanbad_Tilabani_H,E_Mumbai_Chndivli_PC
Renukoot_Murdhava_H,E_Mumbai_Chndivli_PC
Mumbai_MahapeMIDC_I,S_Mumbai_Chndivli_PC
Mumbai_SVRoad_I,S_Mumbai_Chndivli_PC
Motihari_Chhatauni_H,E_Mumbai_Chndivli_PC
Muzaffarpur_Gobarsahi_H,E_Mumbai_Chndivli_PC
Nashik_Satpurcolony_H,S_Mumbai_Chndivli_PC
Mumbai_Patlipada_I,S_Mumbai_Chndivli_PC
Mandsaur_Sindpan_I,E_Mumbai_Chndivli_PC
Mandsaur_Sindpan_I,S_Mumbai_Chndivli_PC
Bahraich_Dularpur_H,E_Mumbai_Chndivli_PC
Mumbai_Mirabhayandar_I,S_Mumbai_Chndivli_PC
Mumbai_GavraiPada_C,S_Mumbai_Chndivli_PC
Mumbai_Turbhe_C,S_Mumbai_Chndivli_PC
Mumbai_MahimJunction_C,S_Mumbai_Chndivli_PC
Mumbai_Kandivali_C,S_Mumbai_Chndivli_PC
Thrissur_Padavarad_I,S_Coimbatore_Kaniyur_H
Kollam_Kilikollur_H,S_Coimbatore_Kaniyur_H
Kottayam_Ettumanoor_H,S_Coimbatore_Kaniyur_H
Coimbatore_Vellakinar_C,S_Coimbatore_Kaniyur_H
Tirupur_RajivNagar_P,S_Coimbatore_Kaniyur_H
Thrissur_Padavarad_I,S_Kolkata_Dankuni_GW
Dibrugarh_Mohanbari_H,S_Kolkata_Dankuni_GW
Jorhat_Chokihaat_I,S_Kolkata_Dankuni_GW
Satara_Ambedkarnagar_I,S_Kolkata_Dankuni_GW
Kollam_Kilikollur_H,S_Kolkata_Dankuni_GW
Moradabad_Menather_P,S_Kolkata_Dankuni_GW
Meerut_Panchlikhurd_H,S_Kolkata_Dankuni_GW
